country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant
Hong Kong,HKG,2021,13.645515,8.867745,4.296014,0.021606725,0.4601499,64.98651457152246,,
Hong Kong,HKG,2022,14.111866,8.874843,4.6983523,0.02275373,0.5159173,62.88922239245729,,
Hong Kong,HKG,2023,17.32407,10.565274,6.216318,0.027457096,0.5150204,60.986097997583336,,Volume < mediana · Access < 70%
Honduras,HND,2019,6.5231395,5.0347157,1.4883276,9.64e-05,0.0,77.18239883778665,somente setor público reportado,
Honduras,HND,2020,6.090787,4.392803,1.6972532,0.00073027494,0.0,72.12209815717227,somente setor público reportado,
Honduras,HND,2021,4.5596933,2.9154887,1.6433656,0.000839189,0.0,63.94045360797717,somente setor público reportado,
Honduras,HND,2022,3.5598793,2.7191503,0.8397581,0.00097093196,0.0,76.38321545306113,somente setor público reportado,
Honduras,HND,2023,5.6569266,3.9798777,1.6752368,0.0018121819,0.0,70.35406191022565,somente setor público reportado,Volume < mediana · Access ≥ 70%
Croatia,HRV,2016,19.871067,12.881983,6.7767596,0.016184028,0.005669147,65.4552491564499,,
Croatia,HRV,2017,20.017197,12.657217,7.0911593,0.022307131,0.059426364,63.82827493568095,,
Croatia,HRV,2018,20.529783,12.811884,7.409226,0.025408965,0.106760405,62.94751704182008,,
Croatia,HRV,2019,20.725693,13.016928,7.405041,0.03222712,0.097782955,63.3366156733497,,
Croatia,HRV,2020,17.426685,10.710467,6.449302,0.038468115,0.09270794,61.94263509560379,,
Croatia,HRV,2021,18.456295,11.101605,7.080306,0.057918414,0.09799264,60.539386669304186,,
Croatia,HRV,2022,20.52807,12.327911,7.9218874,0.06500953,0.10394546,60.3754341145897,,
Croatia,HRV,2023,21.615002,13.097117,8.1940365,0.063918896,0.1210552,60.98453709336027,,Volume ≥ mediana · Access < 70%
Hungary,HUN,2016,15.172812,7.200877,7.663921,0.008479741,0.086531274,48.13481905270166,,
Hungary,HUN,2017,15.320194,7.2167864,7.8057604,0.00914809,0.093846835,47.71258134888388,,
Hungary,HUN,2018,15.599802,7.504594,7.805318,0.009564487,0.10303279,48.660006392032464,,
Hungary,HUN,2019,15.197294,7.6264596,7.2924223,0.010030504,0.1084908,50.71659977815409,,
Hungary,HUN,2020,11.985531,6.074333,5.662358,0.012510417,0.10337951,51.24903206661734,,
Hungary,HUN,2021,12.686332,6.216455,6.2423434,0.016381288,0.106026135,49.41064542983274,,
Hungary,HUN,2022,15.106023,7.3730946,7.450623,0.014915807,0.13604386,49.23708517076517,,
Hungary,HUN,2023,14.807724,7.4123797,7.073082,0.01585197,0.16546492,50.53856683330488,,Volume < mediana · Access < 70%
Indonesia,IDN,2023,26.162806,18.618164,7.5331383,0.00031970098,0.011184881,71.1627161565127,,Volume ≥ mediana · Access ≥ 70%
Ireland,IRL,2016,21.934803,14.173547,7.4313855,0.06399252,0.2658776,64.6167063617735,,
Ireland,IRL,2017,20.860022,13.386451,6.988634,0.064087585,0.42084777,64.17276096660837,,
Ireland,IRL,2018,22.332764,15.238615,6.787008,0.074174,0.23296769,68.23434183598161,,
Ireland,IRL,2019,22.675123,15.944634,6.3461685,0.09299043,0.29132932,70.31774216785094,,
Ireland,IRL,2020,18.548151,13.149072,5.034257,0.096020184,0.26880231,70.89154951237859,,
Ireland,IRL,2021,17.739767,13.082619,4.4047427,0.09181779,0.16058753,73.74741159368394,,
Ireland,IRL,2022,22.94159,16.981613,5.694519,0.09512528,0.17033143,74.02108552577221,,
Ireland,IRL,2023,22.879614,17.166046,5.330396,0.106193796,0.16309649,75.40300388473082,,Volume ≥ mediana · Access ≥ 70%
Iran,IRN,2020,51.64599,25.990477,25.519533,0.037291978,0.006087614,50.41468117943728,,
Iran,IRN,2021,60.861404,29.76369,30.587925,0.03093057,0.006595465,49.28649338255984,,
Iran,IRN,2022,67.97821,31.649702,35.987213,0.041932415,0.005072838,46.761035533542646,,
Iran,IRN,2023,65.756256,28.650396,36.7696,0.055509247,0.004909867,43.75414534272618,,Volume ≥ mediana · Access < 70%
Iceland,ISL,2016,18.22941,15.298652,2.753674,0.005000633,0.008352077,84.68351643789417,somente consumo comunitário reportado,
Iceland,ISL,2017,20.356697,16.986534,3.033525,0.021336807,0.007672135,84.72480640566627,somente consumo comunitário reportado,
Iceland,ISL,2018,19.99646,16.594116,3.1152966,0.016355926,0.000388224,84.12239753696574,somente consumo comunitário reportado,
Iceland,ISL,2019,18.933304,16.087036,2.5269854,0.010771859,0.000600051,86.3715237162957,somente consumo comunitário reportado,
Iceland,ISL,2020,16.291924,13.851172,2.2309847,0.013777398,0.00125921,86.04712470661721,somente consumo comunitário reportado,
Iceland,ISL,2021,16.39599,14.099503,2.0831757,0.012233956,0.000999889,87.05593439594608,somente consumo comunitário reportado,
Iceland,ISL,2022,18.18231,15.694281,2.3098269,0.011560941,0.000633869,87.1115525345211,somente consumo comunitário reportado,
Iceland,ISL,2023,18.314444,15.591326,2.4362068,0.033859212,0.000855373,86.31996709860145,somente consumo comunitário reportado,Volume < mediana · Access ≥ 70%
Italy,ITA,2016,26.262182,12.656038,12.993785,0.05570776,0.55665195,48.19111244390547,,
Italy,ITA,2017,23.058126,10.9138365,11.445082,0.068568505,0.5197972,47.56047121960504,,
Italy,ITA,2018,23.67212,11.187291,11.767743,0.070641145,0.54149663,47.46980718266522,,
Italy,ITA,2019,24.102755,11.732665,11.582693,0.07550449,0.5992405,48.90627191092354,,
Italy,ITA,2020,20.635223,9.682515,10.1679535,0.082174815,0.59309626,47.17255115032805,,
Italy,ITA,2021,19.765284,9.400262,9.57389,0.083935596,0.61541915,47.78132399762057,,
Italy,ITA,2022,24.13073,11.336485,11.951794,0.1325297,0.6085531,47.177636652838615,,
Italy,ITA,2023,25.36181,12.815358,11.575131,0.136921,0.6240933,50.95265220190635,,Volume ≥ mediana · Access < 70%
Jordan,JOR,2017,43.40546,28.294315,14.584335,0.00722133,0.4926147,65.22660790981045,,
Jordan,JOR,2018,36.32911,20.441267,14.995332,0.006620116,0.83155125,56.35119614474364,,
Jordan,JOR,2019,29.632372,18.102064,10.916613,0.010524102,0.53054726,61.23889749775672,,
Jordan,JOR,2020,28.000816,14.348129,12.825048,0.008357159,0.7791036,51.31545683496296,,
Jordan,JOR,2021,27.5204,15.058244,11.615652,0.011328913,0.7954655,54.79572664912581,,
Jordan,JOR,2022,34.303825,17.891644,15.586091,0.012231341,0.77685857,52.212727751898015,,
Jordan,JOR,2023,36.32724,18.65303,16.807512,0.013632895,0.82137465,51.39205834829301,,Volume ≥ mediana · Access < 70%
Kenya,KEN,2018,66.59763,50.32495,10.606401,0.0038859101,5.6623945,75.56567543687126,fontes nacionais incompletas,
Kenya,KEN,2019,30.487007,16.366966,12.777321,0.002836708,1.3398845,53.68505131213628,fontes nacionais incompletas,
Kenya,KEN,2020,14.041812,7.234591,5.228493,0.005647668,1.5730801,51.5217773855007,fontes nacionais incompletas,
Kenya,KEN,2021,18.80344,10.6339035,7.335829,0.006214324,0.8274946,56.5529642165784,fontes nacionais incompletas,Volume ≥ mediana · Access < 70%
South Korea,KOR,2021,19.672407,7.8219504,11.974823,0.021725656,0.36672294,38.75087626754878,,
South Korea,KOR,2022,26.796656,10.238316,16.182981,0.023050305,0.35230905,38.20743851159485,,
South Korea,KOR,2023,33.05834,12.817202,19.866327,0.022626135,0.35218117,38.7714671474905,,Volume ≥ mediana · Access < 70%
Kuwait,KWT,2022,23.28659,12.688724,10.2717285,0.020469327,0.03080604,55.140248804159896,somente setor público reportado,
Kuwait,KWT,2023,32.78365,15.186844,17.26185,0.035743836,0.024268743,46.7162357354765,somente setor público reportado,Volume ≥ mediana · Access < 70%
Laos,LAO,2019,22.254206,18.345608,3.9085972,0.0,0.0,82.43659045617142,escopo de classes antimicrobianas parcial,
Laos,LAO,2020,20.839287,16.566204,4.255305,0.0,0.017779738,79.49505478942704,escopo de classes antimicrobianas parcial,
